Timestamp (HH-MM-SS),Time (s),J-2 (center) Thermocouple (°C),TSic AIN0 (°C)
18-25-52,3383.1,16.861962890625,17.003442645072937
18-25-53,3384.1,16.861328125,16.994875192642212
18-25-54,3385.2,16.8589599609375,16.992871642112732
18-25-55,3386.2,16.857745361328124,16.998364508152008
18-25-56,3387.2,16.863153076171876,16.99166250228882
18-25-57,3388.2,16.863427734375,16.998174250125885
18-25-58,3389.2,16.86568603515625,17.007847368717194
18-25-59,3390.3,16.8736083984375,17.00753653049469
18-26-00,3391.3,16.872216796875,17.010853111743927
18-26-01,3392.3,16.87427978515625,17.01710617542267
18-26-02,3393.3,16.874566650390626,17.016156136989594
18-26-03,3394.3,16.875665283203126,17.015448093414307
18-26-04,3395.4,16.87197265625,17.0160351395607
18-26-05,3396.4,16.87130126953125,17.014929473400116
18-26-06,3397.4,16.87552490234375,17.00871104001999
18-26-07,3398.4,16.87755126953125,17.002302765846252
18-26-08,3399.4,16.87574462890625,17.001628935337067
18-26-09,3400.5,16.87930908203125,17.00770926475525
18-26-10,3401.5,16.88353271484375,17.00789910554886
18-26-11,3402.5,16.88310546875,17.014808475971222
18-26-12,3403.5,16.887750244140626,17.01549941301346
18-26-13,3404.5,16.885479736328126,17.009108245372772
18-26-14,3405.6,16.886663818359374,17.003079652786255
18-26-15,3406.6,16.8877685546875,17.003218173980713
18-26-16,3407.6,16.884326171875,17.003960847854614
18-26-17,3408.6,16.875640869140625,17.009125769138336
18-26-18,3409.6,16.87520751953125,17.008918821811676
18-26-19,3410.6,16.862548828125,17.007744312286377
18-26-20,3411.7,16.859478759765626,16.999176859855652
18-26-21,3412.7,16.8544677734375,16.991403818130493
18-26-22,3413.7,16.851007080078126,16.992146492004395
18-26-23,3414.7,16.855950927734376,16.991990864276886
18-26-24,3415.7,16.8597900390625,16.99402904510498
18-26-25,3416.8,16.856475830078125,16.997587203979492
18-26-26,3417.8,16.860125732421874,17.004496574401855
18-26-27,3418.8,16.8635498046875,16.998053669929504
18-26-28,3419.8,16.860528564453126,16.99883097410202
18-26-29,3420.8,16.864691162109374,16.998951971530914
18-26-30,3421.9,16.864404296875,16.997483730316162
18-26-31,3422.9,16.86610107421875,16.99055725336075
18-26-32,3423.9,16.862451171875,16.990919828414917
18-26-33,3424.9,16.85726318359375,16.990107893943787
18-26-34,3425.9,16.85174560546875,16.98941695690155
18-26-35,3427.0,16.856976318359376,16.989209592342377
18-26-36,3428.0,16.848895263671874,16.99024599790573
18-26-37,3429.0,16.84073486328125,16.989624321460724
18-26-39,3430.0,16.83526611328125,16.990004420280457
18-26-40,3431.0,16.830047607421875,16.98838096857071
18-26-41,3432.0,16.827069091796876,16.98801839351654
18-26-42,3433.1,16.82452392578125,16.98537564277649
18-26-43,3434.1,16.835986328125,16.98503017425537
18-26-44,3435.1,16.8374267578125,16.983631193637848
18-26-45,3436.1,16.84097900390625,16.983734667301178
18-26-46,3437.1,16.83408203125,16.98314720392227
18-26-47,3438.2,16.833282470703125,16.984960913658142
18-26-48,3439.2,16.8279052734375,16.98558259010315
18-26-49,3440.2,16.823919677734374,16.9863423705101
18-26-50,3441.2,16.817230224609375,16.98749977350235
18-26-51,3442.2,16.8088623046875,16.986618995666504
18-26-52,3443.3,16.799822998046874,16.984839916229248
18-26-53,3444.3,16.79444580078125,16.983009099960327
18-26-54,3445.3,16.791131591796876,16.982888102531433
18-26-55,3446.3,16.793499755859376,16.982387006282806
18-26-56,3447.3,16.789373779296874,16.983319520950317
18-26-57,3448.3,16.792120361328124,16.98388946056366
18-26-58,3449.4,16.789154052734375,16.986169636249542
18-26-59,3450.4,16.787249755859374,16.98724067211151
18-27-00,3451.4,16.781292724609376,16.98824244737625
18-27-01,3452.4,16.7907470703125,16.986964464187622
18-27-02,3453.4,16.796209716796874,16.98841518163681
18-27-03,3454.5,16.799652099609375,16.987758457660675
18-27-04,3455.5,16.806756591796876,16.9879829287529
18-27-05,3456.5,16.8185546875,16.9868084192276
18-27-06,3457.5,16.821051025390624,16.98988300561905
18-27-07,3458.5,16.820184326171876,16.987931191921234
18-27-08,3459.6,16.8169677734375,16.98969316482544
18-27-09,3460.6,16.813690185546875,16.988656759262085
18-27-10,3461.6,16.80677490234375,16.98834592103958
18-27-11,3462.6,16.798486328125,16.98490834236145
18-27-12,3463.6,16.796051025390625,16.98596227169037
18-27-13,3464.7,16.80091552734375,16.98553043603897
18-27-14,3465.7,16.806243896484375,16.979329526424408
18-27-15,3466.7,16.8112060546875,16.973318457603455
18-27-16,3467.7,16.819940185546876,16.968309581279755
18-27-17,3468.7,16.82515869140625,16.968655049800873
